id,date,rating,product,category,comments,sentiment,confidence,rating_consistency,main_topic,secondary_topic,emotion,action_needed,drafted_response,sentiment_category
1,4/22/2025,5,Nike Men's Running Sneaker,Shoes,Brought this for a Christmas gift he love this style and I purchased at a sale price. Very nice looking Nike shoes. Comfortable and Stylish.,0.88,0.96,1,Product Quality,Pricing,Satisfied,,,Positive
2,5/7/2025,5,Nike Men's Running Sneaker,Shoes,It's an amazing walking shoes. Looks great and comfortable. A little slippery with wet places.,0.72,0.91,1,Comfort,Traction,Satisfied,,,Positive
3,5/27/2025,4,Apple Magic Mouse,Technology,"The Magic Mouse is everything you'd expect from Appleâ€”clean design and smooth functionality. The wireless connection is rock solid, and it pairs effortlessly with my Mac. The Multi-Touch surface is a game changer, making navigation feel intuitive and responsive. Plus, the rechargeable battery means no more digging for spare AA batteries. It's a sleek addition to any setup, and it just works.",0.87,0.98,1,Design,Wireless Connectivity,Satisfied,,,Positive
4,6/23/2025,4,Nike Men's Running Sneaker,Shoes,This style of Nike is the only shoe I've ever worn that I felt it improved my performance. I remember feeling it and laughing to myself because I thought of the +1 movement speed in RPG games. They have a perfect forward lean to them when you move forward that's good for a lot of athletic motions.,0.87,0.94,1,Performance,Fit And Design,Satisfied,,,Positive
5,7/4/2025,3,Nike Men's Running Sneaker,Shoes,"The feel of this shoe was tight at the top of shoe.  It would have caused serious discomfort over time.Loosing laces greatly did not resolve this on both shoes and even walking for a 1/2 mile and then loosening again did not help.Perhaps it will for someone else but not me at 10.5"".",-0.63,0.92,0,Fit,Comfort,Dissatisfied,,"Hello,

Thank you for sharing your feedback. We’re sorry to hear the shoe felt too tight across the top and that adjusting the laces did not improve the fit, even after walking in them. We understand how uncomfortable this must have been, and we’d like to learn more about your experience so we can better assist you. If you’re open to it, please reply with any additional details about the fit issue and whether you would like help exploring a different size or style.

Best regards,
Customer Support",Negative
6,7/5/2025,4,Nike Men's Running Sneaker,Shoes,Like Nike takes some time to break them in but feel good,0.55,0.83,1,Comfort,Break-In Period,Satisfied,,,Positive
7,7/16/2025,5,Nike Men's Running Sneaker,Shoes,These Nike shoes are so far go good.  A beautiful set of shoes that fit just about perfect.  I was worried when I ordered these shoes initially because I have wide feet.  They fit like a glove.  I purchased these two months ago but no sign of wear so far.,0.86,0.96,1,Fit,Durability,Satisfied,,,Positive
8,7/17/2025,4,Nike Men's Running Sneaker,Shoes,"These are some great style NIKE but definitely not what you'd wear for running. They just don't have the necessary bounce in the forefoot to provide adequate cushioning and the heel has barely the reflex to justify these as runners. These are more of a ""Street Style"" casual dress shoes, and here's where they excel, in looks and short term comfort for daily wear. Additionally: Order a Half to Whole Size larger than your normal size.",0.1,0.88,1,Product Performance,Comfort And Fit,Neutral,,,Mixed
9,7/23/2025,5,Nike Men's Running Sneaker,Shoes,Very comfortable shoe. Appears to be very well-made. Depending on how active a person is depends on how long a shoe lasts with wear and tear. Because of the fit and comfort I'm reading this five stars. We'll just have to see how long they last.,0.73,0.91,1,Comfort,Durability,Satisfied,,,Positive
10,7/23/2025,4,Nike Men's Running Sneaker,Shoes,I used this product as a shoe and since nike stopped doing shocks I have held back on buying any nicer Nikes but these are nice I dig them and they like me too .. totally comfortable I think I could wear these out,0.76,0.87,1,Comfort,Brand Preference,Satisfied,,,Positive
11,7/26/2025,4,Apple Magic Mouse,Technology,"On the positive side, buy the white one it works as well as the black one and is a lot cheaper!After using standard mice with batteries for years, I have a steep learning curve ahead of me. In fact when I use my MacBook sitting on the couch, I don't use the mouse at all.I really can't rate it properly until I have used it for some time. It feels good, looks good and coming from Apple should be fine until they produce another one every Apple lover needs to haveðŸ¤‘",0.44,0.78,1,Usability,Value,Satisfied,,,Mixed
12,8/14/2025,3,Nike Men's Running Sneaker,Shoes,I've had 2 pairs for running and would use them for yard work after I wore them out for running. Now I just bought a pair for casual wearing.,0.72,0.93,0,Versatility,Durability,Satisfied,,,Positive
13,8/16/2025,4,LEGO Toy Set,Toys,"â€œBuilding Memories: A Lego Adventureâ€ is a heartwarming testament to the timeless joy of Lego. Perfect for children, these vibrant building blocks inspire creativity, learning, and endless fun. As a grandmother it is a delightful experience of building with grandchildren, proving that Lego transcends age. It's not just a toy, but a tool that keeps the mind active and fosters precious family bonds. Dive into â€œBuilding Memories: A Lego Adventureâ€ and discover the magic of Lego, a simple yet extraordinary joy shared across generations.You're never too young or too old to build and play with Lego. I have decided on Legos for gifting to my adult children now as well.",0.95,0.98,1,Family Bonding,Creativity And Learning,Satisfied,,,Positive
